question,context,answer,score,is_hallucinated,hallucination_type,problematic_sentences,reasoning,explanation,ground_truth_label,agent_steps
"Who directed a 1980 American biographical black-and-white sports drama film, that had a French-born American film editor who has worked with the director for over forty years, edit all the films? "," She started working with Scorsese on his debut feature film ""Who's That Knocking at My Door"" (1967), and edited all of Scorsese's films since ""Raging Bull"" (1980).Raging Bull is a 1980 American biographical black-and-white sports drama film directed by Martin Scorsese, produced by Robert Chartoff and Irwin Winkler and adapted by Paul Schrader and Mardik Martin from Jake LaMotta's memoir """".",Martin Scorsese,0.5724,True,unsupported_hallucination,['Martin Scorsese'],"Per-sentence support scores: [0.43]. Avg support: 0.428. Supported: 0 (incl. 0 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.428).,0,1
what does Fatal Termination and Robin Shou have in common?,"Fatal Termination (also known as Death Blow, original title Chi se da feng bao) is a 1990 Hong Kong action film starring Moon Lee and Robin Shou. He is known for his role as Liu Kang in the ""Mortal Kombat"" film series and as Gobei in ""Beverly Hills Ninja"", with Chris Farley.",Robin Shou acted in Fatal Termination.,0.4364,False,none,[],"Per-sentence support scores: [0.56]. Avg support: 0.564. Supported: 0 (incl. 1 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.564).,1,1
"The 2000 Belmont Stakes was the 132nd running of the Belmont Stakes and the 96th time the event took place at Belmont Park is a major Thoroughbred horse-racing facility located in Elmont, New York, just outside which city limits?","The 2000 Belmont Stakes was the 132nd running of the Belmont Stakes and the 96th time the event took place at Belmont Park in Elmont, New York.Belmont Park is a major Thoroughbred horse-racing facility located in Elmont, New York, just outside New York City limits.","The 2000 Belmont Stakes was held just outside the limits of Yonkers, New York.",0.3087,False,none,[],"Per-sentence support scores: [0.69]. Avg support: 0.691. Supported: 1 (incl. 0 rescued by NLI gate), Low: 0, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.691).,1,1
what does Street Fight and Cory Booker have in common?,"Street Fight is a 2005 documentary film by Marshall Curry, chronicling Cory Booker's 2002 campaign against Sharpe James for Mayor of Newark, New Jersey. Previously he served as mayor of Newark from 2006 to 2013.",Street Fight and Cory Booker have in common the city of Newark.,0.2797,False,none,[],"Per-sentence support scores: [0.72]. Avg support: 0.720. Supported: 1 (incl. 0 rescued by NLI gate), Low: 0, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.720).,1,1
What album included a song about Mia Zapata?," is the second album by the American punk band 7 Year Bitch. The album's title is in tribute to The Gits' vocalist, and friend of the group, Mia Zapata, who was raped and strangled to death in July 1993.Mia Katherine Zapata (August 25, 1965 – July 7, 1993) was the lead singer for the Seattle punk band The Gits.",7 Year Bitch,0.496,False,none,[],"Per-sentence support scores: [0.50]. Avg support: 0.504. Supported: 0 (incl. 1 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.504).,0,1
Which group owns the sister company of Market Place by Jasons?," It is the sister company of Wellcome.Wellcome (; Cantonese: ""Wai Hong"" in Hong Kong; in Taiwan) is a supermarket chain owned by Jardine Matheson Holdings via its Dairy Farm International Holdings subsidiary.",Market Place by Jasons is owned by Dairy Farm International Holdings.,0.5599,True,unsupported_hallucination,['Market Place by Jasons is owned by Dairy Farm International Holdings.'],"Per-sentence support scores: [0.44]. Avg support: 0.440. Supported: 0 (incl. 0 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.440).,1,1
"No. 11 Squadron RAAF was based at what base, 25 km north of Adelaide?","No. 11 Squadron is a Royal Australian Air Force (RAAF) maritime patrol squadron based at RAAF Base Edinburgh.RAAF Base Edinburgh (ICAO: YPED) is a Royal Australian Air Force (RAAF) military airbase located in Edinburgh, 25 km north of the centre of Adelaide, South Australia, in Australia","RAAF Base Edinburgh, located in Australia.",0.2087,False,none,[],"Per-sentence support scores: [0.79]. Avg support: 0.791. Supported: 1 (incl. 0 rescued by NLI gate), Low: 0, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.791).,1,1
The manager in which Mark Lazarus clashed with served as manager for the Wolverhampton Wanderers during which years?," He transferred to Wolverhampton Wanderers for a club record fee, but due to a clash with manager Stan Cullis, he moved back to QPR after only nine games. During his term as manager between 1948 and 1964, Wolves became one of the strongest teams in the British game, winning the league title on three occasions, and playing a series of high-profile friendly matches against top European sides which acted as a precursor to the European Cup.",Mark Lazarus clashed with the manager of Wolverhampton Wanderers during the years of 1950 and 1960.,0.5384,True,unsupported_hallucination,['Mark Lazarus clashed with the manager of Wolverhampton Wanderers during the years of 1950 and 1960.'],"Per-sentence support scores: [0.46]. Avg support: 0.462. Supported: 0 (incl. 0 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.462).,1,1
Which dinosaur was named after the province where Bartolome Saravi was General Minister in 1847?,"Bartolomé Saraví Melo (1797-1862) was an Argentine army officer and politician, hero of the Argentine War of Independence. He served as General Minister of La Rioja Province, Argentina in 1847. The dinosaur ""Riojasaurus"" is named after the province.",Saravisaurus was named after the province.,0.4856,False,none,[],"Per-sentence support scores: [0.51]. Avg support: 0.514. Supported: 0 (incl. 1 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.514).,1,1
"When was the movie released in 2007 in which ""Let's Go"" song was used?","""Let's Go"" is the first single by American rapper Trick Daddy from his sixth studio album """". It was used in the films ""Stomp the Yard"" (2007) and ""Neighbors"" (2014) in addition to the extended trailer for ""Megamind"" (2010).Stomp the Yard is a 2007 dance drama film produced by Rainforest Films and released through Sony Pictures' Screen Gems division on January 12, 2007.","January 12, 2007",0.8979,True,unsupported_hallucination,"['January 12, 2007']","Per-sentence support scores: [0.10]. Avg support: 0.102. Supported: 0 (incl. 0 rescued by NLI gate), Low: 0, No support: 1 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.102).,0,1
